School Year,State,NCES LEA ID,LEA,School,NCES SCH ID,Data Group,Data Description,Value,Denominator,Numerator,Population,Subgroup,Characteristics,Age/Grade,Academic Subject,Program Type,Outcome
2021-2022,KANSAS,2006840,Halstead,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,48,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2006870,Hamilton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,3,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2006930,Southern Lyon County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,43,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2006960,Haven Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,60,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007020,Hays,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,221,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007050,Haysville,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,421,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007080,Healy Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,2,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007110,Herington,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,29,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007170,Hesston,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,58,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007260,Graham County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,24,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007290,Durham-Hillsboro-Lehigh,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,42,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007320,Hoisington,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,52,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007350,Holcomb,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,70,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007380,Holton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,81,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007440,Rural Vista,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,15,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007470,South Brown County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,35,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007500,West Elk,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-79%,55,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007530,Hoxie Community Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,32,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007560,Hugoton Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,68,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007590,Humboldt,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,168,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007620,Hutchinson Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85%,405,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007650,Independence,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,75-79%,140,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007680,Ingalls,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,16,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007710,Inman,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,36,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007740,Iola,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,89,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007750,Jayhawk,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,43,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007800,Hodgeman County Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,19,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007860,Stanton County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,33,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007890,Geary County Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,82%,344,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007950,Kansas City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,69%,1580,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2007970,Kaw Valley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,95,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008040,Crest,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,16,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008070,Kingman - Norwich,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,80,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008100,Kinsley-Offerle,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,25,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008130,South Barber,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,15,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008190,Kismet-Plains,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,40,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008220,LaCrosse,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,17,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008250,Prairie View,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,83,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008280,Lakin,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,38,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008310,Fairfield,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,14,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008340,Lansing,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,207,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008370,Ft Larned,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,59,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008400,Lawrence,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,999,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008430,Leavenworth,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90%,347,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008550,Bluestem,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,35,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008610,Leoti,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,21,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008670,LeRoy-Gridley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,11,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008730,Liberal,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,389,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008790,Lincoln,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008880,Little River,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,25,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008910,Logan,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,10,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008940,Centre,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,70-79%,41,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2008970,Louisburg,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,141,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009000,Lyndon,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,34,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009030,Lyons,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,65,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009060,Macksville,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,23,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009090,Madison-Virgil,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,18,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009140,Maize,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,602,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009180,Manhattan-Ogden,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,478,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009240,Marion-Florence,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,39,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009320,Royal Valley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,63,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009360,McLouth,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,38,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009390,McPherson,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,199,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009420,Meade,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,43,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009450,Barber County North,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,33,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009480,Marais Des Cygnes Valley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,17,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009510,Jefferson West,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,62,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009570,North Ottawa County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,52,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009600,Minneola,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,14,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009630,Montezuma,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,18,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009660,Marmaton Valley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,21,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009720,Moscow Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,5,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009780,Moundridge,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,31,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009840,Mulvane,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,130,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009850,Paradise,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,10,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009900,Neodesha,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,49,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009930,Ness City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,34,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009960,Newton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,83%,263,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2009990,Nickerson,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,89,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010020,Norton Community Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,39,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010050,Oakley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,31,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010080,Oberlin,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010140,Olathe,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,95%,2354,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010170,Onaga-Havensville-Wheaton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,18,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010230,Osage City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,47,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010260,Osawatomie,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,99,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010290,Osborne County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,18,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010320,Oskaloosa Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,54,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010350,Oswego,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,18,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010410,Santa Fe Trail,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,75,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010440,Oxford,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,27,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010470,Palco,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,9,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010500,Paola,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,163,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010560,Parsons,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,83,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010590,Peabody-Burns,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,25,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010620,Perry Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,60,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010650,Phillipsburg,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,42,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010680,Piper-Kansas City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,176,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010710,Pittsburg,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,275,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010740,Plainville,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,23,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010770,Pleasanton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,24,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010800,West Franklin,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,41,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010890,Pratt,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,94,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010920,Pretty Prairie,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,16,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010950,Quinter Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,19,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2010980,Blue Valley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,4,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011040,Golden Plains,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,24,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011080,Renwick,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,141,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011100,Riley County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,52,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011130,Riverton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,49,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011190,Rolla,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,3,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011220,Flinthills,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,32,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011250,Rose Hill Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,136,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011280,Pawnee Heights,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,13,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011310,Russell County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,69,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011370,Salina,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,538,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011400,Satanta,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,17,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011430,Skyline Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,31,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011490,Seaman,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,91%,290,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011520,Chautauqua Co Community,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,43,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011550,Sedgwick Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,32,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011610,Wallace County Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,11,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011640,Shawnee Mission Pub Sch,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,89%,2049,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011700,Silver Lake,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,58,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011760,Solomon,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,28,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011790,South Haven,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,19,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011820,Spearville,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011850,Spring Hill,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,84%,424,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011880,St Francis Comm Sch,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,17,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011910,St John-Hudson,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,24,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2011970,Stafford,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,15,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012000,Blue Valley,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,97%,1943,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012030,Sterling,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,37,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012060,Stockton,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,28,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012090,Sublette,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,25,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012120,Sylvan Grove,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,21,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012150,Syracuse,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,33,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012180,Shawnee Heights,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,274,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012210,Tonganoxie,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,158,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012260,Topeka Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85%,1014,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012300,Circle,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,133,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012330,Troy Public Schools,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,23,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012360,Turner-Kansas City,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,82%,276,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012390,Udall,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,27,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012420,Ulysses,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-84%,99,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012450,Uniontown,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80-89%,46,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012510,Valley Center Pub Sch,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,88%,219,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012540,Valley Falls,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,27,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012600,Victoria,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,20,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012630,Wakeeney,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012780,Valley Heights,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012810,Lebo-Waverly,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,29,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012840,Wellington,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,121,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012870,Wellsville,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,48,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012900,Weskan,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,6,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2012990,Wichita,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,80%,3370,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2013020,Jefferson County North,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=90%,34,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2013050,Winfield,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,85-89%,180,,All Students,All Students in LEA,,,,,
2021-2022,KANSAS,2013110,Woodson,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=80%,26,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100030,Adair County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=95%,171,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100070,Allen County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,90-94%,195,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100081,Muhlenberg County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,87%,331,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100094,Kentucky School for the Blind District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,S,5,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100095,Kentucky School for the Deaf District,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,>=50%,9,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100120,Anderson County,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,298,,All Students,All Students in LEA,,,,,
2021-2022,KENTUCKY,2100150,Ashland Independent,,,695|696,Four-Year Adjusted-Cohort Graduation Rate and Cohort Count,92%,231,,All Students,All Students in LEA,,,,,
